timestamp,temp_gpu,vram_used_mb,vram_total_mb,power_w,gpu_util_pct,sm_clock_mhz,time_sec
1784754167.2486188,34,1411.06,16376.0,19.68,8,210,224.4481008052826
1784754167.4987965,34,1411.06,16376.0,19.68,8,210,224.69827842712402
1784754167.748959,34,1411.06,16376.0,19.83,17,210,224.94844102859497
1784754167.999112,34,1411.06,16376.0,19.83,17,210,225.19859385490417
1784754168.249269,34,1411.06,16376.0,19.91,8,210,225.4487509727478
1784754168.4994233,34,1411.06,16376.0,19.91,8,210,225.69890522956848
1784754168.7495737,34,1411.06,16376.0,19.84,12,210,225.9490556716919
1784754168.9997315,34,1411.06,16376.0,19.84,12,210,226.19921350479126
1784754169.2498865,34,1411.06,16376.0,19.76,10,210,226.44936847686768
1784754169.5000334,34,1411.06,16376.0,19.76,10,210,226.6995153427124
1784754169.7501812,34,1411.06,16376.0,19.77,14,210,226.94966316223145
1784754170.0003533,34,1411.06,16376.0,19.77,14,210,227.19983530044556
1784754170.2505114,34,1411.06,16376.0,19.7,9,210,227.4499933719635
1784754170.5006688,34,1411.06,16376.0,19.7,9,210,227.7001507282257
1784754170.750828,34,1411.06,16376.0,19.63,15,210,227.95030999183655
1784754171.0009887,34,1411.06,16376.0,19.63,15,210,228.20047068595886
1784754171.251142,34,1411.06,16376.0,19.57,7,210,228.45062398910522
1784754171.5013006,34,1411.06,16376.0,19.57,7,210,228.70078253746033
1784754171.7514493,34,1411.06,16376.0,19.66,15,210,228.9509313106537
1784754172.0016043,34,1411.06,16376.0,19.66,15,210,229.2010862827301
1784754172.2517724,34,1411.06,16376.0,19.68,7,210,229.45125436782837
1784754172.5019307,34,1411.06,16376.0,19.68,7,210,229.7014126777649
1784754172.7521093,34,1411.06,16376.0,19.65,14,210,229.95159125328064
1784754173.0022829,34,1411.06,16376.0,19.65,14,210,230.20176482200623
1784754173.2524478,34,1411.06,16376.0,19.7,7,210,230.45192980766296
1784754173.5026028,34,1411.06,16376.0,19.7,7,210,230.70208477973938
1784754173.7527754,34,1411.06,16376.0,19.93,15,210,230.95225739479065
1784754174.0029416,34,1411.06,16376.0,19.93,15,210,231.20242357254028
1784754174.2530997,34,1411.06,16376.0,20.0,11,210,231.45258164405823
1784754174.5032759,34,1411.06,16376.0,20.0,11,210,231.70275783538818
1784754174.7534475,34,1411.06,16376.0,19.98,13,210,231.95292949676514
1784754175.0036168,34,1411.06,16376.0,19.98,13,210,232.2030987739563
1784754175.2537742,34,1411.06,16376.0,19.75,11,210,232.4532561302185
1784754175.5039396,34,1411.06,16376.0,19.75,11,210,232.7034215927124
1784754175.7540975,34,1411.06,16376.0,19.87,15,210,232.95357942581177
1784754176.0042596,34,1411.06,16376.0,19.87,15,210,233.20374155044556
1784754176.254415,34,1411.06,16376.0,19.94,8,210,233.45389699935913
1784754176.504593,34,1411.06,16376.0,19.94,8,210,233.70407485961914
1784754176.7547572,34,1411.06,16376.0,19.84,13,210,233.95423913002014
1784754177.0049343,34,1411.06,16376.0,19.84,13,210,234.2044162750244
1784754177.25512,34,1411.06,16376.0,19.81,12,210,234.45460200309753
1784754177.505316,34,1411.06,16376.0,19.81,12,210,234.70479798316956
1784754177.7554991,34,1411.06,16376.0,19.86,12,210,234.9549810886383
1784754178.0056765,34,1411.06,16376.0,19.86,12,210,235.20515847206116
1784754178.2558537,34,1411.06,16376.0,19.98,14,210,235.45533561706543
